run_time,lati,long,zagl
2015-10-24 12:00:00,-0.2,100.32,10
2015-10-24 12:00:00,-1.61,103.61,10
2015-10-24 12:00:00,-6.21,106.85,10
2015-10-24 12:00:00,-0.02,109.33,10
2015-10-24 12:00:00,-2.16,113.94,10
2015-10-24 12:00:00,0.53,101.45,10
2015-10-24 12:00:00,-2.99,104.75,10
2015-10-24 12:00:00,-3.32,114.59,10
2015-10-24 12:00:00,-0.5,117.15,10
2015-10-24 12:00:00,-1.27,116.85,10
2015-10-24 12:00:00,-5.14,119.42,10
2015-10-25 12:00:00,-0.2,100.32,10
2015-10-25 12:00:00,-1.61,103.61,10
2015-10-25 12:00:00,-6.21,106.85,10
2015-10-25 12:00:00,-0.02,109.33,10
2015-10-25 12:00:00,-2.16,113.94,10
2015-10-25 12:00:00,0.53,101.45,10
2015-10-25 12:00:00,-2.99,104.75,10
2015-10-25 12:00:00,-3.32,114.59,10
2015-10-25 12:00:00,-0.5,117.15,10
2015-10-25 12:00:00,-1.27,116.85,10
2015-10-25 12:00:00,-5.14,119.42,10
2015-10-26 12:00:00,-0.2,100.32,10
2015-10-26 12:00:00,-1.61,103.61,10
2015-10-26 12:00:00,-6.21,106.85,10
2015-10-26 12:00:00,-0.02,109.33,10
2015-10-26 12:00:00,-2.16,113.94,10
2015-10-26 12:00:00,0.53,101.45,10
2015-10-26 12:00:00,-2.99,104.75,10
2015-10-26 12:00:00,-3.32,114.59,10
2015-10-26 12:00:00,-0.5,117.15,10
2015-10-26 12:00:00,-1.27,116.85,10
2015-10-26 12:00:00,-5.14,119.42,10
2015-10-27 12:00:00,-0.2,100.32,10
2015-10-27 12:00:00,-1.61,103.61,10
2015-10-27 12:00:00,-6.21,106.85,10
2015-10-27 12:00:00,-0.02,109.33,10
2015-10-27 12:00:00,-2.16,113.94,10
2015-10-27 12:00:00,0.53,101.45,10
2015-10-27 12:00:00,-2.99,104.75,10
2015-10-27 12:00:00,-3.32,114.59,10
2015-10-27 12:00:00,-0.5,117.15,10
2015-10-27 12:00:00,-1.27,116.85,10
2015-10-27 12:00:00,-5.14,119.42,10
2015-10-28 12:00:00,-0.2,100.32,10
2015-10-28 12:00:00,-1.61,103.61,10
2015-10-28 12:00:00,-6.21,106.85,10
2015-10-28 12:00:00,-0.02,109.33,10
2015-10-28 12:00:00,-2.16,113.94,10
2015-10-28 12:00:00,0.53,101.45,10
2015-10-28 12:00:00,-2.99,104.75,10
2015-10-28 12:00:00,-3.32,114.59,10
2015-10-28 12:00:00,-0.5,117.15,10
2015-10-28 12:00:00,-1.27,116.85,10
2015-10-28 12:00:00,-5.14,119.42,10
2015-10-29 12:00:00,-0.2,100.32,10
2015-10-29 12:00:00,-1.61,103.61,10
2015-10-29 12:00:00,-6.21,106.85,10
2015-10-29 12:00:00,-0.02,109.33,10
2015-10-29 12:00:00,-2.16,113.94,10
2015-10-29 12:00:00,0.53,101.45,10
2015-10-29 12:00:00,-2.99,104.75,10
2015-10-29 12:00:00,-3.32,114.59,10
2015-10-29 12:00:00,-0.5,117.15,10
2015-10-29 12:00:00,-1.27,116.85,10
2015-10-29 12:00:00,-5.14,119.42,10
