run_time,lati,long,zagl
2015-10-24 12:00:00,-0.20,100.32,10
2015-10-24 12:00:00,-2.16,113.94,10
2015-10-24 12:00:00,-0.02,109.33,10
2015-10-24 12:00:00,-1.61,103.61,10
2015-10-24 12:00:00,-6.21,106.85,10
2015-10-25 12:00:00,-0.20,100.32,10
2015-10-25 12:00:00,-2.16,113.94,10
2015-10-25 12:00:00,-0.02,109.33,10
2015-10-25 12:00:00,-1.61,103.61,10
2015-10-25 12:00:00,-6.21,106.85,10
2015-10-26 12:00:00,-0.20,100.32,10
2015-10-26 12:00:00,-2.16,113.94,10
2015-10-26 12:00:00,-0.02,109.33,10
2015-10-26 12:00:00,-1.61,103.61,10
2015-10-26 12:00:00,-6.21,106.85,10
2015-10-27 12:00:00,-0.20,100.32,10
2015-10-27 12:00:00,-2.16,113.94,10
2015-10-27 12:00:00,-0.02,109.33,10
2015-10-27 12:00:00,-1.61,103.61,10
2015-10-27 12:00:00,-6.21,106.85,10
2015-10-28 12:00:00,-0.20,100.32,10
2015-10-28 12:00:00,-2.16,113.94,10
2015-10-28 12:00:00,-0.02,109.33,10
2015-10-28 12:00:00,-1.61,103.61,10
2015-10-28 12:00:00,-6.21,106.85,10
2015-10-29 12:00:00,-0.20,100.32,10
2015-10-29 12:00:00,-2.16,113.94,10
2015-10-29 12:00:00,-0.02,109.33,10
2015-10-29 12:00:00,-1.61,103.61,10
2015-10-29 12:00:00,-6.21,106.85,10
